"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /exp5/binarySearchTree.html",415,94,120,150,180,280,410,14000,31000,32000
"Total",415,94,120,150,180,280,410,14000,31000,32000
