"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /dec/exp1/index.html",1566,1500,1700,2000,2400,4400,4700,5600,6200,15000
"Total",1566,1500,1700,2000,2400,4400,4700,5600,6200,15000
