"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /fourier.php",347,170,270,510,1400,7200,11000,16000,32000,35000
"Total",347,170,270,510,1400,7200,11000,16000,32000,35000
