"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /dec/exp1/index.html",832,180,180,190,200,270,1900,2500,2500,2800
"Total",832,180,180,190,200,270,1900,2500,2500,2800
