"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/dec/exp1/index.html",1724,7,4400,3629,18,15377,8595,29.12
"None","Total",1724,7,4400,3629,18,15377,8595,29.12
