"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /dec/exp1/index.html",1711,2900,3000,3100,3100,3200,3300,3400,3500,16000
"Total",1711,2900,3000,3100,3100,3200,3300,3400,3500,16000
