"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /dec/exp1/index.html",1724,4400,4500,4600,4700,5200,5600,6400,7600,15000
"Total",1724,4400,4500,4600,4700,5200,5600,6400,7600,15000
