"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /fourier.php",345,13000,19000,28000,31000,33000,40000,42000,48000,57000
"Total",345,13000,19000,28000,31000,33000,40000,42000,48000,57000
