"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/fourier.php",347,5,170,1940,100,34859,17712,5.86
"None","Total",347,5,170,1940,100,34859,17712,5.86
