"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /exp5/binarySearchTree.html",544,210,1700,15000,15000,18000,21000,47000,48000,56000
"Total",544,210,1700,15000,15000,18000,21000,47000,48000,56000
