"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/dec/exp1/index.html",414,5,180,631,7,5760,8526,6.97
"None","Total",414,5,180,631,7,5760,8526,6.97
