"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /dec/exp1/index.html",1231,180,190,200,220,450,960,1200,1300,15000
"Total",1231,180,190,200,220,450,960,1200,1300,15000
