"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/dec/exp1/index.html",1748,31,4600,4487,144,15492,8477,29.30
"None","Total",1748,31,4600,4487,144,15492,8477,29.30
