"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/Heat_Transfer_by_Radiation/experiment.html",443,18,81,932,59,26059,7689,7.45
"None","Total",443,18,81,932,59,26059,7689,7.45
