"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/exp5/binarySearchTree.html",415,0,150,828,52,41603,1106,7.05
"None","Total",415,0,150,828,52,41603,1106,7.05
