"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/dec/exp1/index.html",1711,7,2900,2510,86,15528,8595,28.63
"None","Total",1711,7,2900,2510,86,15528,8595,28.63
