"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /cseweb/vlab/vlsi/1/",371,210,420,870,1100,2400,2600,2800,2800,2900
"Total",371,210,420,870,1100,2400,2600,2800,2800,2900
