"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /fourier.php",352,410,740,1200,1700,9500,31000,41000,48000,53000
"Total",352,410,740,1200,1700,9500,31000,41000,48000,53000
