"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /exp5/binarySearchTree.html",424,300,400,480,570,1400,15000,16000,21000,47000
"Total",424,300,400,480,570,1400,15000,16000,21000,47000
