"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /dec/exp1/index.html",1748,4600,5000,5600,5700,7600,9600,14000,15000,15000
"Total",1748,4600,5000,5600,5700,7600,9600,14000,15000,15000
