"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/Heat_Transfer_by_Radiation/experiment.html",382,0,88,1008,57,53482,8015,6.47
"None","Total",382,0,88,1008,57,53482,8015,6.47
