"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /exp5/binarySearchTree.html",415,150,230,320,350,480,900,9800,17000,42000
"Total",415,150,230,320,350,480,900,9800,17000,42000
