"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/exp5/binarySearchTree.html",412,0,93,607,49,19511,1106,6.88
"None","Total",412,0,93,607,49,19511,1106,6.88
