"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /exp5/binarySearchTree.html",412,94,120,160,300,1700,3500,3900,7700,20000
"Total",412,94,120,160,300,1700,3500,3900,7700,20000
